BR10Y: 0.92%+
IND10Y: 0.00%
JP10Y: 0.63%++
TUR10Y: -0.12%-
UK10Y: 1.18%++
US10Y: -0.20%
US2Y: -0.70%
AUDCNY: 0.13%
CNYARS: -0.04%-
CNYBRL: 0.48%
CNYEGP: -0.12%--
CNYEUR: 0.15%++
CNYGBP: -0.09%
CNYIDR: 0.44%++
CNYINR: -0.17%-
CNYIRR: -0.14%-
CNYJPY: -0.57%
CNYKRW: -0.23%--
CNYMXN: 0.93%
CNYPHP: -0.12%
CNYRUB: -2.24%-
CNYSGD: -0.07%-
CNYTHB: 0.13%
CNYUSD: -0.44%
DXY: 0.14%+
EURCNY: -0.21%--
EURUSD: -0.35%-
GBPCNY: 0.08%
GBPUSD: 0.04%++
USDARS: -0.08%
USDBRL: 0.16%
USDCNY: 0.41%
USDEGP: 0.01%+
USDIDR: 0.67%+
USDINR: 0.04%++
USDJPY: 0.32%
USDKRW: -0.08%
USDMXN: -0.17%--
USDMYR: 0.26%
USDPHP: 0.57%+
USDRUB: -2.84%
USDSGD: 0.07%+
USDTRY: 0.16%++
USDTWD: 0.04%++
Binance: 1.10%
Bitcoin: 0.90%
Ether: 1.18%
Solana: 0.12%
XRP: 3.85%
Australia: -1.74%--
Brazil: -0.95%-
DowJones: 0.16%*+
HANGSENG: -0.14%
India: -0.04%-
Korea: 1.51%++
NASDAQ: 0.07%*++
Nikkei: -1.07%
Russell: -0.34%
Russia: 0.37%
S&P500: 0.24%*+
Shanghai: 0.81%*
Shenzhen: 1.46%*
Singapore: 0.22%+
VIX: -0.52%
CoreCPI: 3.12%
CorePCEM: 100.00%
CorePCEY: 3.70%++
CorePPI: 2.86%++
ImportPriceM: 200.00%
ImportPriceY: -13.64%
PCEY: 8.33%++
USCPI: 3.45%++
USConfidence: -4.64%--
USConspending: 13.51%+
USGDP: -25.81%
USInitial: -2.74%
USInterest: -5.26%--
USNonFarm: -44.14%
USNonFarmA: 50.00%
USNonPMI: -2.40%
USPPI: 6.06%++
USRetailM: -325.00%-
USTrade: 25.89%-
USUnemploy: -2.44%-
Aluminum: 0.50%++
BalticDry: 7.49%++
Brent: 0.22%+
Coal: 2.63%
Cocoa: -1.55%
Coffee: 0.89%+
Copper: -0.11%--
Cotton: -1.56%
CrudeOil: 0.39%+
HuangJin: 0.39%+
IronOre: -0.08%
LeanHogs: -3.96%
Lithium: 0.13%+
LiveCattle: 0.28%
Naturalgas: 10.15%++
Nickel: 0.36%
Oat: -0.36%
OrangeJuice: -3.14%-
Palladium: -1.60%
PalmOil: 1.23%++
Platinum: -1.04%--
Poultry: 0.00%
Rice: -0.18%--
Salmon: -5.75%
Silver: -0.05%
Soybean: -0.45%
Steel: 0.25%++
Sugar: 1.25%
Tin: 0.30%++
Uranium: -3.24%
Wheat: -2.15%
YuMi: -0.82%
Zinc: -0.44%
ACWI: -0.12%
AGQ: -1.29%
AIRR: -0.98%
ANGL: 0.14%
ARGT: 0.34%
ASHR: 0.22%*
BBAX: -0.94%--
BBEU: -1.29%
BBJP: -0.72%
BCD: 0.59%+
BITB: 2.15%
BIV: 0.13%
BIZD: 0.34%++
BLOK: -0.58%--
BNDX: -0.12%--
BOIL: 15.10%++
CALF: -1.17%
CANE: 1.23%
CEFS: -0.44%
CEMB: 0.07%
CHAU: 0.54%
CHIQ: -0.64%-
CIBR: -0.75%
CNYA: 0.39%
COM: 0.34%+
COPX: -3.00%--
CORN: -0.63%
COWZ: 0.14%++
CPER: -0.10%--
CQQQ: 0.61%
CWB: -0.42%
DBA: -0.56%
DBB: 0.21%+
DBC: 0.79%++
DBEF: -0.96%
DEM: -0.31%
DGRO: 0.50%+
DGRW: 0.32%+
DGS: -0.16%
DIA: 0.17%+
DIVO: 0.26%+
DON: -0.42%
DSI: 0.38%+
DVY: 0.45%+
DXJ: -1.03%
DYNF: 0.21%
ECH: 0.63%
EDIV: -0.36%
EDV: 0.06%
EMB: 0.02%
EMLC: -0.29%-
EMLP: 0.08%+
EMXC: -0.10%
EPI: 0.41%
EPU: -0.79%-
ERY: -1.66%--
ESGD: -0.99%
ESGU: 0.17%+
ESGV: 0.08%++
EWC: -0.49%
EWD: -1.63%
EWL: -0.88%-
EWM: 0.21%
EWT: -0.11%
EWW: -1.82%
EWY: 1.46%++
EZA: -1.09%
FALN: 0.07%
FBND: 0.13%
FBTC: 2.18%
FCOM: -0.33%-
FDL: 0.68%++
FDVV: 0.52%+
FENY: 0.71%++
FEZ: -1.63%
FIW: -0.23%
FLBL: 0.00%
FLIN: 0.25%+
FLMI: 0.08%++
FLOT: 0.04%++
FLRN: 0.03%++
FLTR: 0.00%
FLTW: -0.14%
FNDE: -0.26%
FPE: -0.11%
FPEI: -0.16%
FRDM: -0.42%
FTGC: 0.31%+
FUTY: 0.49%+
FV: -0.44%
FXE: -0.22%-
FXI: -0.71%*
FXO: -0.25%
FXY: 0.35%++
GBTC: 2.15%
GCOW: -0.03%
GDX: 0.00%*
GLD: 0.06%*+
GNR: -0.48%
GRID: -0.08%
GXG: 1.63%++
HEDJ: -1.63%
HEFA: -1.15%
HEWJ: -1.04%
HYEM: -0.05%
HYG: 0.08%*
IAGG: -0.12%--
IAI: -0.10%
IAU: 0.09%+
IBB: 1.19%+
IBIT: 2.13%*
ICOW: -0.70%-
ICVT: -0.60%
IDEV: -1.02%
IDX: -1.28%
IEF: 0.16%
IEFA: -1.07%*
IEI: 0.16%
IFRA: -0.40%
IGEB: 0.09%
IGF: -0.26%
IGIB: 0.12%
IGSB: 0.08%
IGV: -1.75%*
IHI: 0.92%
IJH: -0.54%*
IJJ: -0.40%
IJR: -0.38%
ILF: -1.15%
INDA: 0.36%
IOO: 0.20%++
IPAC: -0.67%
IQLT: -0.99%
ITB: -1.55%-
ITOT: 0.16%++
IUSV: 0.45%+
IVV: 0.22%++
IVW: 0.03%++
IWB: 0.19%++
IWF: 0.04%
IWM: -0.34%*
IWP: -1.48%
IWR: -0.34%
IXC: 0.22%++
IXN: -0.06%
IYK: 0.88%+
IYR: 0.04%+
IYW: -0.08%
JCPB: 0.13%
JMBS: 0.11%
JMST: 0.02%
JMUB: 0.12%
JNK: 0.08%
JPST: 0.06%
JQUA: -0.03%
KBE: -0.51%
KCE: -0.14%
KIE: -0.21%
KOLD: -14.17%*--
KWEB: -1.82%*-
LGOV: -0.10%-
LIT: -0.28%
LMBS: 0.02%
LVHI: -0.78%
MBB: 0.15%
MLPX: 0.05%+
MMIT: 0.17%
MOAT: 0.54%+
MTUM: -0.12%
NANR: -0.16%
NOBL: 0.44%+
PAVE: -0.66%
PCEF: 0.05%++
PDBC: 0.87%++
PFFA: 0.14%
PFFD: -0.10%-
PFXF: 0.11%
PICK: -1.88%
PJUL: 0.14%++
POCT: 0.12%
PPA: -0.32%
PPH: 0.72%+
PPLT: -0.69%
PRF: 0.28%++
PULS: 0.04%
PXH: -0.36%
QLD: 0.05%++
QQQ: 0.03%*++
QQQE: -0.26%
QQQM: 0.00%++
QTUM: 0.18%+
QUAL: 0.34%+
QYLD: 0.05%++
RDVY: 0.22%++
REET: -0.20%
REZ: -0.49%
RING: 0.14%+
RSP: 0.20%*+
RWL: 0.46%+
SCHB: 0.17%++
SCHD: 0.68%*+
SCHF: -0.90%*
SCHG: 0.00%*
SCHH: -0.19%*
SCHO: 0.04%
SCHP: 0.15%
SCHR: 0.16%
SCHX: 0.08%*++
SCO: -1.10%-
SDCI: 0.85%+
SDVY: -0.62%
SHV: 0.03%
SHYG: 0.02%
SJNK: 0.04%
SLV: -0.33%*
SMH: 0.44%++
SMIN: 1.61%
SMLF: -1.11%
SOXL: 4.93%*++
SOXS: -4.80%*-
SOXX: 1.66%++
SPDW: -0.86%
SPEM: -0.22%
SPGM: -0.09%
SPHB: -0.01%
SPHQ: 0.35%+
SPHY: 0.04%
SPIB: 0.06%*
SPIP: 0.12%
SPLB: 0.09%
SPLG: 0.24%+
SPMB: 0.23%
SPMD: -0.51%
SPSB: 0.07%
SPSM: -0.48%
SPTI: 0.21%
SPTM: 0.24%+
SPXL: 0.72%+
SPXS: -0.72%*-
SPXU: -0.75%*-
SPY: 0.24%*+
SPYG: 0.03%++
SPYV: 0.43%+
STIP: 0.11%
SUSB: 0.04%
SVXY: 0.56%++
SYLD: -0.90%
TDTT: 0.13%
TFLO: 0.00%
THD: -0.02%--
TIPX: 0.16%
TLH: 0.10%
TLT: 0.12%*
TMF: 0.37%
TQQQ: 0.01%*++
TUR: -1.98%
TWM: 0.71%
UCO: 1.07%+
UDN: -0.18%-
UNG: 7.92%*++
URA: -2.91%
URTH: -0.04%
USHY: 0.03%*
USO: 0.64%+
USRT: 0.12%+
UUP: 0.10%+
UVXY: -1.58%*--
VAW: -1.32%
VCIT: 0.11%*
VCLT: 0.03%
