FBTC.*.++ :   4.50%   5370517      73.61%   比特币, Crypto, 加密货币
IBIT.*.++ :   4.43%   65084113    114.20%   比特币, 加密货币
BITB.++   :   4.39%   1786556     108.37%   比特币, Bitcoin, 赋能加密货币
GBTC.*.++ :   4.39%   3792836      30.67%   比特币, Bitcoin, 加密货币, Crypto
CHIQ.++   :   3.67%   48095       -19.22%   中国, 非必需消费品, 股票
BLOK.++   :   3.18%   400916      110.31%   区块链, Blockchain, 比特币
WGMI.++   :   3.13%   456037       39.21%   挖矿, 加密货币, 比特币, MARA, Riot
KWEB.*    :   3.05%   34058943    217.51%   中国, 互联网公司, 指数基金
SOXX.*.++ :   2.77%   3772183      26.30%   半导体, 费城半导体, 指数基金, 股票
CQQQ      :   2.72%   137377      195.68%   中国, 科技, 股票
URA.*     :   2.45%   3696952      29.49%   铀, 铀矿, 核能
SMH.*.++  :   2.36%   5344913      -5.76%   半导体, 股票
FXI.*.++  :   1.94%   59435220    198.03%   中国, 大型, 股票, 富时50指数
CORN      :   1.76%   82289       -54.00%   玉米, 玉米期货
QQQ.*     :   1.69%   51276395     83.76%   科技, 纳斯达克, 100指数
QQQM      :   1.69%   1770329       0.82%   科技, 纳斯达克
IYW       :   1.61%   341691      -46.85%   科技, 股票, 美国
LIT       :   1.59%   337201      100.01%   锂, 锂电池
XLK.*     :   1.57%   3368966      25.63%   科技, 股票
EZA       :   1.52%   153532       -2.80%   南非, 大型, 股票
VGT       :   1.51%   464805       23.29%   科技, 信息技术, 美国
IXN       :   1.44%   117396      -50.37%   科技, 全球, 股票
XLY       :   1.40%   1929511     -20.45%   非必需消费品, 股票, 美国
MTUM.++   :   1.38%   733111      -28.25%   动量因子, 大型, 中型, 股票, 美国
KBE       :   1.35%   1991267     -34.83%   银行, 标普, 资产管理, 区域性银行, 抵押贷款, 股票, 美国
SCHG.*    :   1.33%   8443885      31.20%   大型, 股票, 美国
VUG       :   1.32%   1678821      38.12%   大型, 股票, 美国
TUR.++    :   1.31%   117452       91.02%   土耳其, 股票
SPYG      :   1.31%   1976603      36.78%   标普500, 高盈利, 股票
IVW       :   1.30%   1282103     -16.95%   标普500, 高增长, 大型, 股票
VONG      :   1.30%   771159       -9.44%   罗素1000, 大型, 中型, 股票, 美国
ASHR.*    :   1.29%   20648394    333.25%   中国, A股, 大型, 股票
XLG       :   1.26%   1020334     -37.74%   大型, 标普500, 股票
SPHB.++   :   1.26%   188427      -14.07%   标普500, 高波动性, 股票
PICK      :   1.25%   221434      -55.34%   金属, 矿业, 全球, 采矿, 股票
IWF       :   1.23%   1859259     -44.89%   罗素, 小型, 股票
CNYA      :   1.22%   60779       -63.29%   中国, A股, 股票
QQQE.++   :   1.19%   293105      136.55%   科技, 纳斯达克, 等权重
DXJ       :   1.16%   268502      -76.69%   日本, 出口导向型, 股票, 货币对冲, 汇率对冲
PFFA.++   :   1.14%   729206       67.94%   优先股, 股息, 分红
YCS       :   1.11%   2445        -87.53%   美元, 做多, 做空, 日元, 两倍
GRID.++   :   1.09%   115460      -46.20%   智能电网, 清洁能源, 储能, 充电, 基础设施, 可再生
DSI       :   1.09%   107974      -24.80%   ESG, 环境, 社会, 公司治理, 股票
DYNF      :   1.06%   1308557     -26.78%   动态因子策略, 因子轮换, 股票, 美国
FNDE      :   1.05%   598138       -3.85%   新兴市场, 含中国, 大型, 股票
SCHB      :   1.04%   2682344      -7.87%   广泛, 综合, 多样化, 股票, 美国
ECH       :   1.02%   376039       46.01%   智利, 股票
HEWJ      :   1.02%   73398        34.68%   日本, 更广泛日本公司, 货币对冲, 汇率对冲, 股票
SPY.*     :   1.00%   54122028     58.87%   标普500, 大型, 股票
ESGU      :   1.00%   829585      -81.48%   环境社会治理, ESG, 美国, 标准宽松
SPTM      :   1.00%   306718      -19.50%   标普1500, 综合, 美国
