Consumer_Defensive       OTLY           : 1636.00%  燕麦奶, 奶制品, 植物奶, 瑞典
Technology               WRD.*.++       :  28.25%  文远知行, 自动驾驶, L4, Robotaxi, 中国, 科技
Healthcare               OSCR.*.+       :  17.76%  奥斯卡, 健康保险, 远程医疗, 医疗保健
Industrials              VMI.18         :  17.52%  基础设施, 通信塔, 交通信号灯柱, 灯柱, 电塔, 护栏, 农业灌溉设备
Technology               SMCI.*.++      :  16.47%  超微电脑, 服务器, 存储, 数据中心, AI, 美国
Technology               INTC.*         :  16.06%  英特尔, 芯片, 传统半导体, 美国
Healthcare               WBA.*          :  14.02%  沃尔格林, 连锁药店, 药品零售, 药店, 药品
Technology               PONY.+         :  10.70%  小马智行, 自动驾驶, 人工智能, AI
Industrials              AMTM           :   9.75%  工程技术, 情报, 政府服务, 政府承包商
Industrials              WSO.18.++      :   9.73%  北美, 第一大, 空调, 采暖, 制冷
Consumer_Cyclical        BBWI.*.++      :   9.68%  沐浴, 护肤, 香氛, 美国
Industrials              CRS.+          :   9.23%  特种金属, 合金材料, 不锈钢, 材料, 金属
Technology               RMBS.+         :   8.94%  内存芯片, 高速接口技术, 半导体, 用于Intel平台
Healthcare               ASND.++        :   8.41%  生长激素, 生物制药, 医疗保健, Yorvipath, 慢性甲状旁腺功能减退症, 丹麦
Healthcare               MRNA.*.++      :   8.37%  莫德纳, mRNA, 疫苗, 新冠肺炎
Technology               GRAB.*         :   8.16%  东南亚, 打车, 在线叫车, 外卖, 送餐, 快递
Communication_Services   NBIS.20.*.++   :   8.05%  AI基础设施, 人工智能, AI, GPU集群, 云计算, GPU租赁, 数据中心, 荷兰, yandex创始人
Technology               FN.++          :   7.97%  泰国, 高精度制造, 光学, 电子电气, AI, 电信行业, 光通信, 硅光产品, 数据通信
Technology               MU.*.++        :   7.31%  美光, 内存, 硬盘
Communication_Services   LUMN.*         :   7.17%  电信运营商, 通信服务提供商, AI, 通信, 高速光纤网络连接, 互联网骨干网, 电信基础设施, 美国
Consumer_Cyclical        SHAK.20        :   6.83%  连锁, 快餐, 汉堡, 餐饮, 美国
Consumer_Cyclical        FIVE           :   6.71%  折扣连锁, 折扣零售, 1~5美元商品, 折扣, 低价, 零售连锁
Technology               GFS.+          :   6.60%  格芯, 半导体, 晶圆代工, 芯片, 代工
Technology               CRDO.+         :   6.42%  数据传输, 光纤, 电缆, 数据中心, AI, AEC
Consumer_Cyclical        NKE.*          :   6.23%  耐克, 体育, 运动装备, 鞋, 运动鞋, 运动
Technology               ALAB.*         :   6.17%  AI基础设施, AI芯片, AI, 半导体, 内存连接
Industrials              FELE.18        :   6.03%  富兰克林电子, 水泵, 电机, 电动机, 水处理, 工业基础设施, 工业, 基础设施, 美国
Communication_Services   TLK.++         :   5.80%  电信运营商, 印尼
Consumer_Cyclical        FUN.++         :   5.73%  游乐园, 水上乐园, 主题公园
